"name" "type" "expected_age" "hdi_95" "lower_95_hdr" "upper_95_hdr" "agreement" "overall_agreement" "model_agreement" "modelname"
"Corsica_neo" "model" NA NA NA NA NA NA NA "corsica_neo"
NA "model" NA NA NA NA NA 83 87.5 "malta_neo"
"Malta_neo_start" "date" -5391.53790860477 255 -5509.5 -5254.5 NA NA NA "malta_neo"
"745" "date" -5107.32324670953 195 -5204.5 -5009.5 100.8 NA NA "malta_neo"
"746" "date" -5119.19641587298 210 -5214.5 -5004.5 100.9 NA NA "malta_neo"
"747" "date" -5119.72710246472 205 -5209.5 -5004.5 100.7 NA NA "malta_neo"
"748" "date" -5123.70850560422 310 -5299.5 -4989.5 102.5 NA NA "malta_neo"
"749" "date" -5125.5986717658 270 -5279.5 -5009.5 100.6 NA NA "malta_neo"
"750" "date" -5136.04557253048 280 -5294.5 -5014.5 100.6 NA NA "malta_neo"
"751" "date" -5193.55424074101 235 -5299.5 -5064.5 98.8 NA NA "malta_neo"
"752" "date" -5233.41501904258 240 -5314.5 -5074.5 99.2 NA NA "malta_neo"
"753" "date" -5340.36159055744 225 -5449.5 -5224.5 85.2 NA NA "malta_neo"
"754" "date" -5338.16006475911 220 -5444.5 -5224.5 83.2 NA NA "malta_neo"
"771" "date" -4984.98743416656 355 -5199.5 -4844.5 69 NA NA "malta_neo"
"772" "date" -5005.57447577213 350 -5204.5 -4854.5 84 NA NA "malta_neo"
"773" "date" -5126.21952804488 445 -5354.5 -4909.5 114.1 NA NA "malta_neo"
"774" "date" -5110.30160014869 300 -5284.5 -4984.5 102.3 NA NA "malta_neo"
"Malta_neo_phase" "model" NA NA NA NA NA NA NA "malta_neo"
"Malta_neo_end" "date" -4925.45862951609 250 -5054.5 -4804.5 NA NA NA "malta_neo"
"Malta_neo" "model" NA NA NA NA NA NA NA "malta_neo"
NA "model" NA NA NA NA NA 101.3 122.9 "n_italy_meso"
"N_Italy_meso_start" "date" -7853.98392525362 455 -8084.5 -7629.5 NA NA NA "n_italy_meso"
"Marine20" "curve" NA NA NA NA NA NA NA "n_italy_meso"
"LocalMarine" "number" -132.912475203501 110 -186 -76 100.1 NA NA "n_italy_meso"
"8" "date" -4982.89728678073 500 -5219.5 -4719.5 98.7 NA NA "n_italy_meso"
"IntCal20" "curve" NA NA NA NA NA NA NA "n_italy_meso"
"35" "date" -5564.80593124986 320 -5714.5 -5394.5 99.9 NA NA "n_italy_meso"
"95" "date" -5552.82634538033 325 -5709.5 -5384.5 100.2 NA NA "n_italy_meso"
"96" "date" -6674.41670887354 565 -7024.5 -6459.5 99.7 NA NA "n_italy_meso"
"97" "date" -7058.1887662436 630 -7334.5 -6704.5 99.9 NA NA "n_italy_meso"
"98" "date" -7421.30052873406 395 -7584.5 -7189.5 98.5 NA NA "n_italy_meso"
"108" "date" -6775.77571316956 515 -7039.5 -6524.5 100.2 NA NA "n_italy_meso"
"114" "date" -5179.47007664699 505 -5459.5 -4954.5 100.1 NA NA "n_italy_meso"
"166" "date" -7907.65805360444 590 -8199.5 -7609.5 99.5 NA NA "n_italy_meso"
"167" "date" -8607.97521986613 515 -8824.5 -8309.5 100.3 NA NA "n_italy_meso"
"226" "date" -5721.89664336501 400 -5959.5 -5559.5 98.8 NA NA "n_italy_meso"
"239" "date" -5881.58762882138 325 -6049.5 -5724.5 100.1 NA NA "n_italy_meso"
"240" "date" -5982.90203248412 415 -6214.5 -5799.5 100 NA NA "n_italy_meso"
"245" "date" -6114.68974237584 435 -6354.5 -5919.5 99.9 NA NA "n_italy_meso"
"246" "date" -6475.94791596071 380 -6639.5 -6259.5 100.3 NA NA "n_italy_meso"
"247" "date" -7401.01421254979 395 -7579.5 -7184.5 98.7 NA NA "n_italy_meso"
"248" "date" -7713.9544487832 410 -7944.5 -7534.5 103.6 NA NA "n_italy_meso"
"249" "date" -5921.64823692547 315 -6064.5 -5749.5 100.3 NA NA "n_italy_meso"
"250" "date" -7713.81499819987 410 -7944.5 -7534.5 103.7 NA NA "n_italy_meso"
"267" "date" -4931.0965659495 490 -5204.5 -4714.5 97.2 NA NA "n_italy_meso"
"268" "date" -5425.61923408629 390 -5614.5 -5224.5 99.8 NA NA "n_italy_meso"
"269" "date" -5461.29494559305 300 -5614.5 -5314.5 99.8 NA NA "n_italy_meso"
"270" "date" -6159.26275487775 375 -6369.5 -5994.5 99.6 NA NA "n_italy_meso"
"271" "date" -6516.17288213826 410 -6684.5 -6274.5 100.1 NA NA "n_italy_meso"
"272" "date" -6775.42174690603 515 -7039.5 -6524.5 100.3 NA NA "n_italy_meso"
"273" "date" -7136.74085366738 630 -7454.5 -6824.5 100.4 NA NA "n_italy_meso"
"274" "date" -7291.61134240239 425 -7499.5 -7074.5 99.8 NA NA "n_italy_meso"
"275" "date" -7551.14735334385 390 -7739.5 -7349.5 100.3 NA NA "n_italy_meso"
"276" "date" -8328.35379308674 585 -8554.5 -7969.5 100 NA NA "n_italy_meso"
"277" "date" -8509.58685083551 425 -8724.5 -8299.5 100.4 NA NA "n_italy_meso"
"283" "date" -7282.53481472863 420 -7489.5 -7069.5 100.1 NA NA "n_italy_meso"
"284" "date" -5828.96731293596 315 -5984.5 -5669.5 99.6 NA NA "n_italy_meso"
"291" "date" -5383.00468538207 335 -5549.5 -5214.5 101 NA NA "n_italy_meso"
"292" "date" -5470.34141210145 295 -5619.5 -5324.5 99.9 NA NA "n_italy_meso"
"293" "date" -5559.9570600535 325 -5714.5 -5389.5 100 NA NA "n_italy_meso"
"294" "date" -6954.90142990766 645 -7299.5 -6654.5 100.6 NA NA "n_italy_meso"
"295" "date" -6979.96163873258 620 -7309.5 -6689.5 100.4 NA NA "n_italy_meso"
"296" "date" -7079.45655017439 745 -7444.5 -6699.5 100 NA NA "n_italy_meso"
"297" "date" -7272.65219656874 415 -7479.5 -7064.5 100.2 NA NA "n_italy_meso"
"298" "date" -7370.75078148295 485 -7574.5 -7089.5 99.1 NA NA "n_italy_meso"
"413" "date" -7169.69804847288 635 -7464.5 -6829.5 100.5 NA NA "n_italy_meso"
"443" "date" -5702.9070440098 330 -5884.5 -5554.5 98.8 NA NA "n_italy_meso"
"444" "date" -5778.75200203504 340 -5969.5 -5629.5 99.1 NA NA "n_italy_meso"
"445" "date" -6749.78632244318 525 -7029.5 -6504.5 100.2 NA NA "n_italy_meso"
"446" "date" -6776.28498572867 525 -7039.5 -6514.5 100.1 NA NA "n_italy_meso"
"449" "date" -6344.54519530696 465 -6559.5 -6094.5 100.4 NA NA "n_italy_meso"
"450" "date" -7242.22091937662 420 -7474.5 -7054.5 100.6 NA NA "n_italy_meso"
"451" "date" -7577.69586905167 420 -7774.5 -7354.5 101 NA NA "n_italy_meso"
"452" "date" -8153.30978349019 620 -8449.5 -7829.5 96.6 NA NA "n_italy_meso"
"454" "date" -5559.94256617798 320 -5714.5 -5394.5 100 NA NA "n_italy_meso"
"455" "date" -5562.9485850747 320 -5714.5 -5394.5 99.9 NA NA "n_italy_meso"
